id,title,description,availability,condition,price,link,image_link,brand
109155,Absorvente Interno Intimus Médio Caixa Leve 24 Pague 22 Unidades,Absorvente Interno Intimus Médio Caixa Leve 24 Pague 22 Unidades,in stock,new,33.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1d359ccf3bcf4a229371da6a6eb40f89.jpeg,Intimus
43057,Absorvente Interno Intimus Mini Caixa 8 Unidades,Absorvente Interno Intimus Mini Caixa 8 Unidades,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1defe275d68b40cea52f200d811d4a76.jpeg,Intimus
62482,Absorvente Interno Intimus Mini Caixa Leve 16 Pague 15 Unidades,Absorvente Interno Intimus Mini Caixa Leve 16 Pague 15 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f558ac0f98554521a5bdf44566c29040.jpeg,Intimus
43056,Absorvente Interno Intimus Super Caixa 8 Unidades,Absorvente Interno Intimus Super Caixa 8 Unidades,in stock,new,12.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-59beebb0005a4810ac882811d1300315.jpeg,Intimus
62539,Absorvente Interno Intimus Super Caixa Leve 16 Pague 15 Unidades,Absorvente Interno Intimus Super Caixa Leve 16 Pague 15 Unidades,in stock,new,21.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-3fa8dd0ae77f49bda68222f080c9c832.jpeg,Intimus
80323,Absorvente Interno O.B. Mini 8 un,Absorvente Interno O.B. Mini 8 un,in stock,new,16.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-50ed6d3f602b439dbe7803364c1ef7fa.jpeg,O.B.
2207,Absorvente Interno O.B. Original Super Caixa  Leve 10 Pague 8 Unidades,Absorvente Interno O.B. Original Super Caixa  Leve 10 Pague 8 Unidades,in stock,new,15.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-a30805d7df314a7196dd8445003debd9.png,O.B.
80322,Absorvente Interno O.B. ProComfort Médio Caixa 8 Unidades,Absorvente Interno O.B. ProComfort Médio Caixa 8 Unidades,in stock,new,16.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-94df75ac8b5a4c27965b0a9532d33446.jpeg,O.B.
80324,Absorvente Interno O.B. ProComfort Super Caixa 8 Unidades,Absorvente Interno O.B. ProComfort Super Caixa 8 Unidades,in stock,new,16.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-df6b1efe4abd4fd49479672201aa9250.jpeg,O.B.
2205,Absorvente Interno O.B. Sempre Livre Pro Comfort Médio Caixa 10 Unidades Leve Mais Pague Menos,Absorvente Interno O.B. Sempre Livre Pro Comfort Médio Caixa 10 Unidades Leve Mais Pague Menos,in stock,new,15.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f7ad69aad99244feb83cb709360ed47a.png,O.B. Sempre Livre
92093,Absorvente Interno O.B. Sempre Livre ProComfort Médio Caixa 16 Unidades Leve Mais Pague Menos,Absorvente Interno O.B. Sempre Livre ProComfort Médio Caixa 16 Unidades Leve Mais Pague Menos,in stock,new,26.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1ac395ac19df42729b4f5dbe0d612004.png,O.B. Sempre Livre
92094,Absorvente Interno ProComfort O.B. Super Caixa 16 Unidades,Absorvente Interno ProComfort O.B. Super Caixa 16 Unidades,in stock,new,26.49 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6c789527a0d14174847a6036f41d6599.jpeg,O.B.
107339,Absorvente Intimus Not Suave C/Abas Extra Protecao 45Un,Absorvente Intimus Not Suave C/Abas Extra Protecao 45Un,in stock,new,38.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-1653956b8ae641f6a6477508ef4d2bae.jpeg,
112419,Absorvente para Incontinência Urinária DryBrasil Dryman Pacote 10 Unidades,Absorvente para Incontinência Urinária DryBrasil Dryman Pacote 10 Unidades,in stock,new,20.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c8e44347e7b14ba39957376db28abab8.jpeg,DryBrasil
115768,Absorvente Para Seios Bem Care 12 Unidades,Absorvente Para Seios Bem Care 12 Unidades,in stock,new,13.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-253cd781814a467490e21e96ef72f63e.webp,Bem Care
2421,Absorvente sem Abas 3 em 1 para Incontinência Urinária Macia e Suave Bigfral Tamanho Único Pacote 20 Unidades,Absorvente sem Abas 3 em 1 para Incontinência Urinária Macia e Suave Bigfral Tamanho Único Pacote 20 Unidades,in stock,new,19.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-7ae76131a4164e6a97bfc6b4b52f3711.jpeg,Bigfral
3361,Absorvente sem Abas Extra Suave Intimus Tripla Proteção Pacote 8 Unidades,Absorvente sem Abas Extra Suave Intimus Tripla Proteção Pacote 8 Unidades,in stock,new,6.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-c2e385236fda4bda9aae08f451d113d1.jpeg,Intimus
91347,Absorvente sem Abas para Incontinência Urinária Plenitud Femme Ultra Pacote 8 Unidades,Absorvente sem Abas para Incontinência Urinária Plenitud Femme Ultra Pacote 8 Unidades,in stock,new,20.79 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-05b9a112a716456b976371a0bde2570d.jpeg,Plenitud
112515,Absorvente sem Abas para Incontinência Urinária Tena Lady Discreet Maxi Night Pacote 14 Unidades Embalagem Econômica,Absorvente sem Abas para Incontinência Urinária Tena Lady Discreet Maxi Night Pacote 14 Unidades Embalagem Econômica,in stock,new,50.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-da95807260ef4f8991d30e9ed37dc41b.jpeg,Tena
78710,Absorvente sem Abas Seca Always Pequeno Pacote 8 Unidades,Absorvente sem Abas Seca Always Pequeno Pacote 8 Unidades,in stock,new,5.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-2054a99ffd70478a9d600b87c521116e.jpeg,Always
6083,Absorvente sem Abas Seca Intimus Tripla Proteção Pacote 8 Unidades,Absorvente sem Abas Seca Intimus Tripla Proteção Pacote 8 Unidades,in stock,new,6.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-95f40f05c7aa4575a1aa9b0826aab4dd.jpeg,Intimus
103130,Absorvente sem Abas Suave Always Pequeno Pacote 8 Unidades,Absorvente sem Abas Suave Always Pequeno Pacote 8 Unidades,in stock,new,6.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-b9bbdd5a73f14bafbc1c19e39fac17c0.jpeg,Always
5151,Absorvente sem Abas Suave Sempre Livre Adapt Pacote 8 Unidades,Absorvente sem Abas Suave Sempre Livre Adapt Pacote 8 Unidades,in stock,new,7.29 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-6de4905b3fae48d48f13493d51c0c1fc.jpeg,Sempre Livre
110942,Absorvente sem Abas Total Protect Suave Sym Pacote 8 Unidades,Absorvente sem Abas Total Protect Suave Sym Pacote 8 Unidades,in stock,new,4.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-f9e4957e6a9a4322a18a7a055dea4c4c.jpeg,Sym
113395,Acelerador De Bronzeado Bronzy 60g,Acelerador De Bronzeado Bronzy 60g,in stock,new,49.99 BRL,https://loja.redecentralfarma.com.br/,https://d22vuod48cepji.cloudfront.net/ib.item.image.large/l-711988e6ecb149f79d1259e069fa418a.webp,Cimed
